paper_id,doi,url,url_type,source,section,jspsych_confirmed,checked_date
W4414334451,10.1007/s00426-025-02180-7,https://osf.io/ymu4b,osf,epmc_fulltext,data_availability,False,2026-07-20
W4414430346,10.31234/osf.io/aqnu3_v1,https://osf.io/kst9c,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4414537838,10.31234/osf.io/3fkes_v1,https://osf.io/tc7k6,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4414541636,10.31219/osf.io/ucyb5_v3,https://osf.io/7vsx6,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4414570278,10.31234/osf.io/swy32_v1,https://osf.io/kw2bq,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4414595269,10.31234/osf.io/kv2rx_v3,https://osf.io/ezcrn,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4414675127,10.1186/s41235-025-00671-0,https://osf.io/jnkfw,osf,epmc_fulltext,data_availability,False,2026-07-20
W4414771271,10.3389/fpsyg.2025.1528172,https://osf.io/cqf6d,osf,epmc_fulltext,data_availability,False,2026-07-20
W4414771271,10.3389/fpsyg.2025.1528172,https://zenodo.org/records/2593764,zenodo,epmc_fulltext,references,False,2026-07-20
W4414780216,10.1162/opmi.a.27,https://osf.io/4va8k,osf,epmc_fulltext,data_availability,False,2026-07-20
W4414787674,10.3758/s13421-025-01786-x,https://osf.io/h49w5,osf,epmc_fulltext,data_availability,False,2026-07-20
W4414875192,10.31234/osf.io/y3dzn_v3,https://osf.io/g83rp,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4414941683,10.31219/osf.io/9rfx8_v2,https://osf.io/mr27k,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4415042867,10.1016/j.isci.2025.113701,https://osf.io/phj8m,osf,epmc_fulltext,data_availability,False,2026-07-20
W4415230592,10.3390/bs15101397,https://osf.io/gpv8k,osf,epmc_fulltext,data_availability,False,2026-07-20
W4415643567,10.1007/s00426-025-02200-6,https://osf.io/pr5z2,osf,epmc_fulltext,data_availability,False,2026-07-20
W4415707316,10.1186/s41235-025-00678-7,https://osf.io/v9n3m,osf,epmc_fulltext,data_availability,False,2026-07-20
W4415795085,10.1186/s12888-025-07492-x,https://github.com/hollabharath/fastMRIQC,github,epmc_fulltext,body,False,2026-07-20
W4415795085,10.1186/s12888-025-07492-x,https://github.com/hollabharath/fNIRS_PARAM,github,epmc_fulltext,body,False,2026-07-20
W4415904131,10.1007/s00426-025-02167-4,https://osf.io/4r2kh,osf,epmc_fulltext,data_availability,False,2026-07-20
W4415904131,10.1007/s00426-025-02167-4,https://osf.io/7hcaf,osf,epmc_fulltext,data_availability,False,2026-07-20
W4415904131,10.1007/s00426-025-02167-4,https://osf.io/967y3,osf,epmc_fulltext,data_availability,False,2026-07-20
W4415904131,10.1007/s00426-025-02167-4,https://osf.io/wes78,osf,epmc_fulltext,data_availability,False,2026-07-20
W4416176194,10.1162/opmi.a.253,https://osf.io/5keh9,osf,epmc_fulltext,body,False,2026-07-20
W4416220652,10.3758/s13428-025-02863-4,https://github.com/aalok-sathe/surprisal,github,epmc_fulltext,references,False,2026-07-20
W4416220652,10.3758/s13428-025-02863-4,https://osf.io/jg8ha,osf,epmc_fulltext,data_availability,False,2026-07-20
W4416553991,10.1093/nc/niaf045,https://osf.io/vefsd,osf,epmc_fulltext,data_availability,False,2026-07-20
W4416661378,10.1098/rsos.251758,https://github.com/mibognar/behavlab_sart,github,epmc_fulltext,references,True,2026-07-20
W4416661378,10.1098/rsos.251758,https://osf.io/3m9z5,osf,epmc_fulltext,references,False,2026-07-20
W4416661378,10.1098/rsos.251758,https://osf.io/5sdbp,osf,epmc_fulltext,body,False,2026-07-20
W4416661378,10.1098/rsos.251758,https://osf.io/7ufkw,osf,epmc_fulltext,references,False,2026-07-20
W4416661378,10.1098/rsos.251758,https://osf.io/krqmz,osf,epmc_fulltext,body,False,2026-07-20
W4416661378,10.1098/rsos.251758,https://osf.io/kxgdu,osf,epmc_fulltext,references,False,2026-07-20
W4416661378,10.1098/rsos.251758,https://osf.io/ngtzw,osf,epmc_fulltext,data_availability,False,2026-07-20
W4416661378,10.1098/rsos.251758,https://osf.io/qjzgd,osf,epmc_fulltext,body,False,2026-07-20
W4416661378,10.1098/rsos.251758,https://osf.io/s7wvr,osf,epmc_fulltext,references,False,2026-07-20
W4416661378,10.1098/rsos.251758,https://osf.io/uqs4b,osf,epmc_fulltext,body,False,2026-07-20
W4416661378,10.1098/rsos.251758,https://osf.io/v76y8,osf,epmc_fulltext,body,False,2026-07-20
W4416661378,10.1098/rsos.251758,https://osf.io/zr3y5,osf,epmc_fulltext,body,False,2026-07-20
W4416661378,10.1098/rsos.251758,https://osf.io/zvy39,osf,epmc_fulltext,body,False,2026-07-20
W4416711854,10.2196/65867,https://osf.io/5cah4,osf,epmc_fulltext,references,True,2026-07-20
W4416756091,10.1016/j.abrep.2025.100645,https://osf.io/m9tg6,osf,epmc_fulltext,body,False,2026-07-20
W4416786581,10.1111/cogs.70139,https://osf.io/d27gc,osf,epmc_fulltext,body,False,2026-07-20
W4416786581,10.1111/cogs.70139,https://osf.io/gt3fy,osf,epmc_fulltext,body,False,2026-07-20
W4416786581,10.1111/cogs.70139,https://osf.io/xuzjr,osf,epmc_fulltext,body,True,2026-07-20
W4416938494,10.1016/j.neuropsychologia.2025.109341,https://github.com/celstark/oMST,github,epmc_fulltext,body,True,2026-07-20
W4417118398,10.1111/psyp.70182,https://osf.io/ukxyf,osf,epmc_fulltext,data_availability,False,2026-07-20
W4417209520,10.3758/s13428-025-02889-8,https://osf.io/pf4tv,osf,epmc_fulltext,data_availability,False,2026-07-20
W4417524880,10.1371/journal.pone.0338493,https://osf.io/wf5qg,osf,epmc_fulltext,data_availability,False,2026-07-20
W7115934568,10.5334/cpsy.127,https://github.com/nivlab/nivturk,github,epmc_fulltext,data_availability,True,2026-07-20
W7115934568,10.5334/cpsy.127,https://github.com/nivlab/RobotFactory,github,epmc_fulltext,data_availability,False,2026-07-20
W7115934568,10.5334/cpsy.127,https://osf.io/ax34v,osf,epmc_fulltext,references,False,2026-07-20
W7115934568,10.5334/cpsy.127,https://osf.io/n2fkh,osf,epmc_fulltext,references,False,2026-07-20
W7115934568,10.5334/cpsy.127,https://osf.io/phzrb,osf,epmc_fulltext,references,False,2026-07-20
W7116948931,10.1038/s41562-025-02359-3,https://osf.io/xb43k,osf,epmc_fulltext,data_availability,True,2026-07-20
W7117307319,10.1038/s41746-025-02145-5,https://github.com/mpirescarvalho/react-tetris,github,epmc_fulltext,body,,2026-07-20
W7117307319,10.1038/s41746-025-02145-5,https://osf.io/anvuk,osf,epmc_fulltext,data_availability,False,2026-07-20
W7117307319,10.1038/s41746-025-02145-5,https://osf.io/p56jv,osf,epmc_fulltext,body,False,2026-07-20
W7117684350,10.1177/13623613251403906,https://github.com/justinsulik/jspsych_plugins,github,epmc_fulltext,body,True,2026-07-20
W7117684350,10.1177/13623613251403906,https://osf.io/d6zfr,osf,epmc_fulltext,body,False,2026-07-20
W7118233168,10.1167/jov.26.1.4,https://zenodo.org/records/18022818,zenodo,epmc_fulltext,body,False,2026-07-20
W7118678578,10.7717/peerj.20544,https://github.com/beatlab-mcmaster/AVOKE,github,epmc_fulltext,data_availability,True,2026-07-20
W7118678578,10.7717/peerj.20544,https://zenodo.org/records/16581811,zenodo,epmc_fulltext,data_availability,,2026-07-20
W7119488562,10.3389/fpsyg.2025.1680346,https://osf.io/7c9hk,osf,epmc_fulltext,data_availability,False,2026-07-20
W7119499187,10.1038/s41598-026-35241-x,https://osf.io/azpcy,osf,epmc_fulltext,data_availability,False,2026-07-20
W7119534308,10.5334/joc.483,https://osf.io/5dn47,osf,epmc_fulltext,body,False,2026-07-20
W7119534308,10.5334/joc.483,https://osf.io/wc96q,osf,epmc_fulltext,data_availability,False,2026-07-20
W7119908993,10.1371/journal.pbio.3003588,https://github.com/en/repositories,github,epmc_fulltext,body,,2026-07-20
W7119908993,10.1371/journal.pbio.3003588,https://github.com/FabulousFabs/MVPy,github,epmc_fulltext,references,,2026-07-20
