institution_key,institution_name,ror,country,n_papers,n_authors,first_use,last_use
ror:04g2vpn86,Royal Holloway University of London,04g2vpn86,GB,9,14,2019-09-17,2025-04-12
ror:04xx1tc24,Max Planck Institute for Biology of Ageing,04xx1tc24,DE,9,10,2019-03-08,2025-09-16
ror:055khg266,Institut Universitaire de France,055khg266,FR,9,7,2023-01-01,2026-04-01
ror:05vt9qd57,"Rutgers, The State University of New Jersey",05vt9qd57,US,9,15,2020-08-09,2026-05-29
ror:0061rmm93,Laboratoire d’Étude des Mécanismes Cognitifs,0061rmm93,FR,8,11,2023-01-01,2026-02-04
ror:008xxew50,Vrije Universiteit Amsterdam,008xxew50,NL,8,16,2020-09-24,2025-07-07
ror:00kx1jb78,Temple University,00kx1jb78,US,8,24,2019-08-12,2025-06-27
ror:0160cpw27,University of Alberta,0160cpw27,CA,8,11,2019-01-28,2026-04-13
ror:0161xgx34,Université de Montréal,0161xgx34,CA,8,11,2018-08-06,2026-02-18
ror:01dp7jr64,École Normale Supérieure,01dp7jr64,BI,8,7,2020-06-05,2026-02-06
ror:01ee9ar58,University of Nottingham,01ee9ar58,GB,8,9,2020-01-20,2026-04-08
ror:01r9htc13,Université Libre de Bruxelles,01r9htc13,BE,8,10,2023-08-17,2026-04-16
ror:01swzsf04,University of Geneva,01swzsf04,CH,8,8,2023-06-15,2026-01-27
ror:02d9dg697,École des hautes études en sciences sociales,02d9dg697,FR,8,12,2020-04-07,2026-01-01
ror:02nkf1q06,University of Essex,02nkf1q06,GB,8,12,2018-12-10,2025-05-13
ror:038htga59,Australian Psychological Society,038htga59,AU,8,12,2020-03-21,2025-01-22
ror:03mkjjy25,Université de Versailles Saint-Quentin-en-Yvelines,03mkjjy25,FR,8,1,2023-05-05,2026-02-24
ror:03r0ha626,University of Utah,03r0ha626,US,8,37,2020-10-20,2026-03-11
ror:03rth4p18,Université Lumière Lyon 2,03rth4p18,FR,8,9,2023-01-01,2026-02-04
ror:03yghzc09,University of Exeter,03yghzc09,GB,8,8,2018-10-13,2025-12-06
ror:047272k79,The University of Western Australia,047272k79,AU,8,11,2019-05-09,2025-10-03
ror:04a9tmd77,Icahn School of Medicine at Mount Sinai,04a9tmd77,US,8,29,2020-09-16,2026-05-05
ror:04cvxnb49,Goethe University Frankfurt,04cvxnb49,DE,8,10,2021-05-17,2026-06-29
ror:05bnh6r87,Cornell University,05bnh6r87,US,8,16,2018-02-12,2026-02-04
ror:05dxps055,California Institute of Technology,05dxps055,US,8,22,2018-04-10,2026-06-12
ror:05f950310,KU Leuven,05f950310,BE,8,9,2017-05-01,2026-07-13
ror:05krs5044,University of Sheffield,05krs5044,GB,8,7,2014-11-19,2026-02-18
ror:000rdbk18,Max Planck Institute for Empirical Aesthetics,000rdbk18,DE,7,7,2018-11-21,2026-02-18
ror:0072zz521,University of Massachusetts Amherst,0072zz521,US,7,11,2019-09-17,2025-01-09
ror:00rqy9422,The University of Queensland,00rqy9422,AU,7,12,2021-11-12,2025-08-18
ror:00s6t1f81,University of Pavia,00s6t1f81,IT,7,5,2023-01-01,2026-02-18
ror:00t33hh48,Chinese University of Hong Kong,00t33hh48,HK,7,9,2019-12-19,2026-01-16
ror:019whta54,University of Lausanne,019whta54,CH,7,8,2016-07-05,2025-08-14
ror:01an3r305,University of Pittsburgh,01an3r305,US,7,6,2019-09-17,2025-01-03
ror:01ed4t417,Centre de recherche en Epidémiologie et Santé des Populations,01ed4t417,FR,7,1,2023-05-05,2025-12-03
ror:01kj4z117,Southwest University,01kj4z117,CN,7,16,2024-12-18,2026-05-01
ror:01y64my43,"University at Buffalo, State University of New York",01y64my43,US,7,11,2019-12-10,2025-05-23
ror:0220mzb33,King's College London,0220mzb33,GB,7,15,2016-03-31,2024-01-29
ror:024d6js02,Charles University,024d6js02,CZ,7,11,2020-05-29,2026-05-01
ror:02778hg05,Universität Trier,02778hg05,DE,7,9,2021-09-01,2026-01-27
ror:02mb95055,"Birkbeck, University of London",02mb95055,GB,7,12,2018-10-13,2026-06-17
ror:02t0qr014,University of North Carolina Wilmington,02t0qr014,US,7,4,2020-07-09,2025-01-10
ror:036trcv74,Nanjing Normal University,036trcv74,CN,7,12,2022-08-04,2026-01-07
ror:03bnmw459,University of Potsdam,03bnmw459,DE,7,11,2021-11-13,2025-09-01
ror:03c4mmv16,University of Ottawa,03c4mmv16,CA,7,8,2021-08-10,2026-02-18
ror:03m2x1q45,University of Arizona,03m2x1q45,US,7,11,2018-03-03,2025-12-07
ror:03tzyrt94,Universidad Nebrija,03tzyrt94,ES,7,8,2022-03-16,2024-09-04
ror:03x94j517,Medical Research Council,03x94j517,GB,7,17,2019-03-19,2025-07-19
ror:03xg1f311,Kansai University,03xg1f311,JP,7,6,2022-04-08,2026-03-12
ror:040af2s02,University of Helsinki,040af2s02,FI,7,7,2022-03-27,2026-05-30
ror:04gqg1a07,Université Savoie Mont Blanc,04gqg1a07,FR,7,17,2022-02-01,2026-04-30
ror:04qmmjx98,Osnabrück University,04qmmjx98,DE,7,4,2020-01-01,2026-01-01
ror:04t5xt781,Northeastern University,04t5xt781,US,7,4,2016-11-18,2023-02-07
